City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Ambilobe,MG,2022-05-12 01:06:38,-13.2,49.05,71.01,97,13,2.98
151,Haines Junction,CA,2022-05-12 01:06:38,60.7522,-137.5108,41.13,79,74,3.15
152,Klaksvik,FO,2022-05-12 01:06:39,62.2266,-6.589,40.12,73,100,21.61
153,Samana,DO,2022-05-12 01:06:39,19.2056,-69.3369,77.99,82,100,6.17
154,Evensk,RU,2022-05-12 01:06:40,61.95,159.2333,33.82,96,100,2.53
155,Damaturu,NG,2022-05-12 01:06:40,11.747,11.9608,88.18,44,99,13.4
156,Matamoros,MX,2022-05-12 01:06:40,25.5333,-103.25,93.36,17,1,14.09
157,Acapulco,MX,2022-05-12 01:02:01,16.8634,-99.8901,83.59,66,23,3.0
158,Manaure,CO,2022-05-12 01:06:41,11.7751,-72.4445,81.09,80,100,5.84
159,Urumqi,CN,2022-05-12 01:06:42,43.801,87.6005,61.75,48,0,6.71
160,Carnarvon,AU,2022-05-12 01:06:42,-24.8667,113.6333,78.87,61,100,20.71
161,Te Anau,NZ,2022-05-12 01:06:43,-45.4167,167.7167,53.19,67,100,1.12
162,Tilichiki,RU,2022-05-12 01:06:43,60.4667,166.1,34.56,86,100,4.54
163,Ahipara,NZ,2022-05-12 01:06:43,-35.1667,173.1667,63.32,51,0,5.01
164,Lompoc,US,2022-05-12 01:06:44,34.6391,-120.4579,66.02,58,0,11.01
165,Litovko,RU,2022-05-12 01:06:44,49.2361,135.1742,57.54,34,5,13.53
166,Bethel,US,2022-05-12 01:02:19,41.3712,-73.414,63.75,81,1,3.83
167,La Orilla,MX,2022-05-12 01:06:45,17.9833,-102.2333,80.78,71,82,7.67
168,Ilulissat,GL,2022-05-12 01:06:45,69.2167,-51.1,26.62,46,0,0.0
169,Sakakah,SA,2022-05-12 01:05:47,29.9697,40.2064,69.49,20,0,8.1
170,Sinnamary,GF,2022-05-12 01:06:46,5.3833,-52.95,77.43,88,26,11.5
171,Upernavik,GL,2022-05-12 01:02:36,72.7868,-56.1549,9.93,95,15,5.01
172,Vila,PT,2022-05-12 01:06:46,42.0304,-8.1588,49.08,87,100,3.58
173,Darhan,MN,2022-05-12 01:06:47,49.4867,105.9228,43.81,32,100,18.3
174,Dingle,PH,2022-05-12 01:02:07,10.9995,122.6711,86.22,68,63,10.02
175,Bogandinskiy,RU,2022-05-12 01:06:47,56.8937,65.8938,52.07,83,100,10.09
176,Mandalgovi,MN,2022-05-12 01:06:48,45.7625,106.2708,33.57,28,0,21.21
177,Talnakh,RU,2022-05-12 01:06:48,69.4865,88.3972,33.21,99,100,6.08
178,Preobrazheniye,RU,2022-05-12 01:06:48,42.9019,133.9064,57.09,54,86,4.47
179,Khatanga,RU,2022-05-12 01:02:59,71.9667,102.5,26.62,88,100,14.85
180,Garoua,CM,2022-05-12 01:06:49,9.3,13.4,81.77,59,97,3.71
181,Rocha,UY,2022-05-12 01:06:50,-34.4833,-54.3333,50.52,80,100,6.04
182,Provost,CA,2022-05-12 01:06:50,52.3501,-110.2683,57.56,37,100,4.7
183,Remanso,BR,2022-05-12 01:06:51,-9.6179,-42.0831,76.1,62,0,5.97
184,Dakar,SN,2022-05-12 01:07:52,14.6937,-17.4441,72.48,89,6,10.92
185,East Wenatchee Bench,US,2022-05-12 01:07:52,47.4257,-120.2812,63.59,25,40,9.22
186,Thompson,CA,2022-05-12 01:02:59,55.7435,-97.8558,51.94,60,10,7.67
187,Chuy,UY,2022-05-12 01:07:53,-33.6971,-53.4616,54.41,75,82,8.14
188,Quatre Cocos,MU,2022-05-12 01:04:51,-20.2078,57.7625,73.51,79,62,5.1
189,Nizwa,OM,2022-05-12 01:07:53,22.9333,57.5333,79.11,26,82,1.66
190,Ippy,CF,2022-05-12 01:07:53,6.2679,21.2247,71.83,95,100,1.81
191,Praia,CV,2022-05-12 01:07:54,14.9215,-23.5087,73.94,64,0,13.8
192,Kalianget,ID,2022-05-12 01:07:54,-7.05,113.9333,83.08,77,100,1.14
193,Tiksi,RU,2022-05-12 01:07:55,71.6872,128.8694,23.04,82,100,9.93
194,Mahebourg,MU,2022-05-12 01:07:55,-20.4081,57.7,73.69,88,75,3.44
195,Helena,US,2022-05-12 01:05:09,46.5927,-112.0361,54.75,43,100,9.22
196,Ribeira Grande,PT,2022-05-12 01:07:56,38.5167,-28.7,59.04,70,98,13.33
197,Quang Ngai,VN,2022-05-12 01:07:56,15.1167,108.8,84.09,73,11,2.95
198,Muli,MV,2022-05-12 01:07:57,2.9167,73.5667,83.21,78,76,19.82
199,Ebeltoft,DK,2022-05-12 01:07:57,56.1944,10.6821,50.02,100,75,6.91
200,Kavieng,PG,2022-05-12 01:07:58,-2.5744,150.7967,84.47,72,80,11.1
201,Sisimiut,GL,2022-05-12 01:07:58,66.9395,-53.6735,25.95,61,0,11.41
202,San Jose,US,2022-05-12 01:04:51,37.3394,-121.895,66.67,44,40,17.27
203,Yenagoa,NG,2022-05-12 01:07:59,4.9247,6.2642,77.43,93,100,4.38
204,Puerto Escondido,MX,2022-05-12 01:06:50,15.85,-97.0667,84.63,74,5,6.29
205,Inirida,CO,2022-05-12 01:07:59,3.8653,-67.9239,74.39,97,99,0.65
206,Gigmoto,PH,2022-05-12 01:08:00,13.7796,124.39,84.06,75,99,8.97
