City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
50,Avarua,CK,-21.2078,-159.775,82.45,69,75,8.05,broken clouds
51,Mayumba,GA,-3.432,10.6554,75.43,86,82,5.86,broken clouds
52,Pevek,RU,69.7008,170.3133,34.66,90,100,5.35,overcast clouds
53,Jiayuguan,CN,39.8167,98.3,59.79,26,2,2.17,clear sky
54,Butaritari,KI,3.0707,172.7902,80.87,80,99,10.49,light rain
55,Hami,CN,42.8,93.45,74.91,26,0,14.58,clear sky
56,Atuona,PF,-9.8,-139.0333,77.79,77,17,11.86,few clouds
57,Igrim,RU,63.1906,64.4162,37.47,91,100,12.71,overcast clouds
58,Mount Gambier,AU,-37.8333,140.7667,44.11,92,8,4.88,clear sky
59,Port Elizabeth,ZA,-33.918,25.5701,55.69,88,75,4.61,broken clouds
60,Jamestown,US,42.097,-79.2353,83.84,54,40,12.66,scattered clouds
61,Nikolskoye,RU,59.7035,30.7861,46.29,61,4,7.83,clear sky
62,Vanimo,PG,-2.6741,141.3028,77.09,88,100,4.94,overcast clouds
63,Sambava,MG,-14.2667,50.1667,74.84,88,99,10.85,light rain
64,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,11.5,broken clouds
65,Halifax,CA,44.6453,-63.5724,62.49,62,26,19.57,scattered clouds
66,Matay,EG,28.419,30.7792,72.86,19,50,11.39,scattered clouds
67,Zemio,CF,5.0314,25.1361,70.05,88,100,1.99,overcast clouds
68,Saint George,US,37.1041,-113.5841,78.44,11,0,5.01,clear sky
69,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,73,20,8.05,few clouds
70,Letpadan,MM,17.7833,95.75,80.29,85,100,8.32,overcast clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,69,75,8.05,broken clouds
72,Aklavik,CA,68.2191,-135.0107,35.6,80,100,8.05,light snow
73,Ous,RU,60.9058,61.5186,36.14,97,100,9.6,overcast clouds
74,Upernavik,GL,72.7868,-56.1549,31.39,76,100,4.05,overcast clouds
75,Cherepovets,RU,59.1333,37.9,37.22,60,20,8.95,few clouds
76,Catuday,PH,16.2923,119.8062,78.76,80,100,9.19,overcast clouds
77,Bredasdorp,ZA,-34.5322,20.0403,52.52,85,15,4.7,few clouds
78,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,88,75,2.17,light intensity drizzle
79,Talnakh,RU,69.4865,88.3972,42.21,100,100,2.71,overcast clouds
80,Lithakia,GR,37.7167,20.8333,60.17,79,0,4.16,clear sky
81,Muli,MV,2.9167,73.5667,83.05,78,84,11.39,broken clouds
82,Hobart,AU,-42.8794,147.3294,46.26,87,75,13.8,broken clouds
83,Luderitz,NA,-26.6481,15.1594,55.42,66,9,14.45,clear sky
84,Ixtapa,MX,20.7,-105.2,92.75,36,1,8.5,clear sky
85,Lerwick,GB,60.1545,-1.1494,50.0,87,100,14.58,overcast clouds
86,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,100,11.16,overcast clouds
87,Odweyne,SO,9.4092,45.064,77.4,56,63,13.18,broken clouds
88,Eyl,SO,7.9803,49.8164,84.52,66,92,15.43,overcast clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,62.62,78,0,7.0,clear sky
90,Kamina,CD,-8.7386,24.9906,70.47,63,93,3.24,overcast clouds
91,Viedma,AR,-40.8135,-62.9967,58.33,40,2,8.93,clear sky
92,Gua Musang,MY,4.8823,101.9644,74.14,89,100,1.34,overcast clouds
93,Gidole,ET,5.65,37.3667,57.63,79,87,1.52,light rain
94,Esperance,AU,-33.8667,121.9,58.84,76,57,12.62,broken clouds
95,Sept-Iles,CA,50.2001,-66.3821,46.92,95,100,8.05,mist
96,Namatanai,PG,-3.6667,152.4333,80.62,75,49,7.76,scattered clouds
97,Cape Town,ZA,-33.9258,18.4232,54.91,81,0,1.14,clear sky
98,Mecca,SA,21.4267,39.8261,88.3,25,4,0.49,clear sky
99,Bluff,NZ,-46.6,168.3333,51.26,77,100,26.37,overcast clouds
100,Suzhou,CN,31.3114,120.6181,63.79,86,96,5.95,overcast clouds
101,Chapais,CA,49.7834,-74.8492,62.38,58,64,10.16,broken clouds
102,Guerrero Negro,MX,27.9769,-114.0611,72.45,50,4,13.6,clear sky
